Date,Open,High,Low,Close,Adj Close,Volume
2022-01-13,21.070000,21.379999,20.950001,21.049999,20.159880,3926600
2022-01-14,21.049999,21.370001,20.990000,21.219999,20.322691,3053300
2022-01-17,21.170000,21.559999,21.000000,21.080000,20.188614,4393000
2022-01-18,21.120001,21.440001,21.020000,21.309999,20.408886,3839300
2022-01-19,21.500000,22.420000,21.370001,21.969999,21.040977,9478700
2022-01-20,22.070000,22.770000,22.059999,22.400000,21.452795,5895400
2022-01-21,22.219999,22.370001,21.820000,21.980000,21.050554,7715300
2022-01-24,21.980000,22.129999,21.450001,21.650000,20.734509,4620900
2022-01-25,21.520000,22.049999,21.410000,21.959999,21.031401,9111700
2022-01-26,22.110001,23.020000,22.040001,22.430000,21.481527,8951600
2022-01-27,22.610001,23.360001,22.610001,23.360001,22.372202,9507300
2022-01-28,23.040001,23.540001,22.940001,23.209999,22.228542,7062900
2022-01-31,23.290001,24.100000,23.129999,23.770000,22.764866,12053600
2022-02-01,23.959999,24.000000,23.370001,23.700001,22.697824,5699300
2022-02-02,23.830000,24.100000,23.480000,23.629999,22.630783,7136200
2022-02-03,23.629999,23.910000,23.440001,23.639999,22.640360,3259000
2022-02-04,23.610001,23.620001,22.680000,23.309999,22.324314,6505800
2022-02-07,23.120001,23.160000,22.469999,22.540001,21.586876,6137300
2022-02-08,22.580000,22.639999,21.860001,22.170000,21.232523,9080200
2022-02-09,22.170000,22.580000,22.040001,22.360001,21.414488,5529300
2022-02-10,22.430000,22.530001,22.000000,22.320000,21.376177,3829500
2022-02-11,22.400000,22.520000,22.040001,22.270000,21.328293,6387300
2022-02-14,22.270000,22.730000,22.040001,22.270000,21.328293,12091600
2022-02-15,22.480000,22.590000,21.940001,22.299999,21.357023,7372600
2022-02-16,22.299999,23.049999,22.209999,22.920000,21.950806,8664900
2022-02-17,22.980000,23.240000,22.730000,22.860001,21.893345,6280300
2022-02-18,22.980000,23.010000,21.480000,21.760000,20.839859,11838700
2022-02-21,21.940001,21.940001,21.000000,21.180000,20.284386,7166600
2022-02-22,21.379999,21.420000,20.480000,20.520000,19.652294,9896700
2022-02-23,20.510000,20.719999,20.030001,20.450001,19.585253,8096100
2022-02-24,20.040001,20.639999,19.990000,20.510000,19.642715,6268000
2022-02-25,20.530001,21.190001,20.400000,21.110001,20.217344,10842400
2022-03-02,21.330000,22.160000,21.010000,21.809999,20.887743,6715900
2022-03-03,21.809999,22.450001,21.690001,22.350000,21.404911,11348700
2022-03-04,22.290001,22.520000,22.160000,22.309999,21.366600,8603600
2022-03-07,22.150000,22.360001,21.770000,21.920000,20.993093,9920100
2022-03-08,21.959999,22.360001,21.580000,22.030001,21.098442,8868800
2022-03-09,22.129999,22.820000,22.070000,22.620001,21.663494,8389800
2022-03-10,22.650000,22.750000,21.799999,22.049999,21.117594,9376900
2022-03-11,22.000000,22.299999,21.299999,21.540001,20.629162,7414400
2022-03-14,21.540001,21.790001,20.820000,21.049999,20.159880,6454200
2022-03-15,20.990000,21.200001,20.639999,20.900000,20.016226,7391700
2022-03-16,20.900000,21.010000,20.510000,20.950001,20.064110,6732900
2022-03-17,20.940001,21.950001,20.799999,21.950001,21.021826,7059400
2022-03-18,21.850000,22.780001,21.660000,22.760000,21.797573,20822400
2022-03-21,22.750000,22.790001,22.459999,22.650000,21.692223,3082000
2022-03-22,22.830000,23.799999,22.820000,23.410000,22.420086,7631600
2022-03-23,23.299999,24.040001,23.260000,23.709999,22.707401,6225800
2022-03-24,23.799999,24.680000,23.740000,24.520000,23.483149,8078400
2022-03-25,24.639999,25.000000,24.340000,24.549999,23.511881,6207300
2022-03-28,24.520000,24.730000,24.200001,24.580000,23.540611,5318200
2022-03-29,24.690001,25.219999,24.170000,24.200001,23.176682,6675300
2022-03-30,24.299999,24.530001,24.040001,24.240000,23.214989,3925400
2022-03-31,24.320000,24.490000,23.540001,23.650000,22.649937,8202400
2022-04-01,23.780001,24.059999,23.480000,23.799999,22.793594,7111700
2022-04-04,23.920000,23.930000,23.469999,23.580000,22.582897,4098800
2022-04-05,23.660000,23.840000,23.250000,23.400000,22.410509,3855600
2022-04-06,23.240000,23.420000,22.910000,23.290001,22.305162,4363800
2022-04-07,23.059999,23.230000,22.730000,23.090000,22.113617,4225000
2022-04-08,22.950001,23.360001,22.719999,23.290001,22.305162,6264200
2022-04-11,23.320000,23.590000,22.980000,23.010000,22.037003,4788300
2022-04-12,23.340000,23.570000,23.170000,23.340000,22.353046,5574900
2022-04-13,23.580000,23.860001,22.950001,23.120001,22.142351,8391200
2022-04-14,22.969999,23.170000,22.629999,23.170000,22.190235,2996800
2022-04-18,23.150000,23.340000,22.930000,23.150000,22.171080,3389900
2022-04-19,22.990000,23.139999,22.340000,22.680000,21.720957,4185300
2022-04-20,22.559999,23.570000,22.309999,22.730000,21.768841,4560000
2022-04-22,22.170000,22.870001,22.030001,22.170000,21.232523,4226100
2022-04-25,22.000000,22.129999,21.570000,22.010000,21.079288,5214900
2022-04-26,21.820000,22.180000,21.620001,21.650000,20.734509,6196100
2022-04-27,21.969999,22.040001,21.459999,21.570000,20.657892,4492200
2022-04-28,21.690001,21.700001,21.209999,21.350000,20.447197,5061000
2022-04-29,21.600000,22.059999,20.879999,21.000000,20.111996,7900900
2022-05-02,21.000000,21.010000,20.080000,20.260000,19.807076,8269900
2022-05-03,20.260000,20.350000,19.420000,19.790001,19.347584,14248900
2022-05-04,19.690001,20.020000,19.160000,19.980000,19.533335,10383600
2022-05-05,19.760000,19.889999,18.930000,19.150000,18.721889,9282200
2022-05-06,18.740000,18.820000,17.950001,18.240000,18.240000,11892400
2022-05-09,18.030001,18.090000,17.030001,17.629999,17.629999,19548500
2022-05-10,17.790001,18.190001,17.549999,17.850000,17.850000,12552200
2022-05-11,17.959999,18.620001,17.610001,18.330000,18.330000,11845000
2022-05-12,18.180000,18.690001,17.860001,18.549999,18.549999,8680100
2022-05-13,18.590000,19.219999,18.559999,19.040001,19.040001,18997800
2022-05-16,18.930000,19.500000,18.510000,18.840000,18.840000,13327800
2022-05-17,18.940001,19.350000,18.799999,19.000000,19.000000,11385700
2022-05-18,18.940001,19.100000,18.160000,18.299999,18.299999,7922400
2022-05-19,18.340000,18.530001,18.100000,18.330000,18.330000,5333200
2022-05-20,18.570000,18.650000,18.160000,18.620001,18.620001,6311800
2022-05-23,18.690001,19.400000,18.690001,19.330000,19.330000,7217800
2022-05-24,19.170000,19.700001,19.030001,19.670000,19.670000,10593300
2022-05-25,19.570000,20.100000,19.450001,20.030001,20.030001,6255300
2022-05-26,19.990000,21.430000,19.930000,21.250000,21.250000,14992500
2022-05-27,21.290001,22.040001,21.200001,21.629999,21.629999,10908300
2022-05-30,21.750000,21.860001,21.309999,21.549999,21.549999,5589600
2022-05-31,21.719999,21.980000,21.469999,21.610001,21.610001,31063700
2022-06-01,21.910000,21.980000,21.469999,21.760000,21.760000,7771900
2022-06-02,22.000000,22.400000,21.389999,22.080000,22.080000,8333000
2022-06-03,22.120001,22.209999,21.330000,21.400000,21.400000,7384700
2022-06-06,21.500000,21.600000,21.070000,21.309999,21.309999,5637600
2022-06-07,21.010000,21.490000,20.549999,20.559999,20.559999,9697200
2022-06-08,20.420000,20.660000,19.930000,20.219999,20.219999,12492600
2022-06-09,20.290001,20.469999,19.940001,20.030001,20.030001,8061500
2022-06-10,19.820000,20.020000,19.389999,19.740000,19.740000,6637400
2022-06-13,19.490000,19.719999,18.860001,19.000000,19.000000,5593700
2022-06-14,19.080000,19.200001,18.200001,18.370001,18.370001,9105600
2022-06-15,18.629999,19.100000,18.500000,18.760000,18.760000,8515800
2022-06-17,18.490000,18.730000,18.260000,18.340000,18.340000,10995700
2022-06-20,18.440001,18.850000,18.080000,18.410000,18.410000,4660400
2022-06-21,18.469999,18.690001,18.180000,18.440001,18.440001,6393700
2022-06-22,18.330000,18.730000,18.150000,18.490000,18.490000,5493500
2022-06-23,18.570000,18.750000,18.070000,18.100000,18.100000,7955600
2022-06-24,18.209999,18.480000,17.940001,18.389999,18.389999,6733000
2022-06-27,18.590000,18.930000,18.430000,18.590000,18.590000,4687100
2022-06-28,18.590000,19.049999,18.530001,18.740000,18.740000,5769200
2022-06-29,18.850000,18.930000,18.440001,18.570000,18.570000,4754800
2022-06-30,18.299999,18.450001,18.120001,18.200001,18.200001,6736000
2022-07-01,18.100000,18.139999,17.639999,17.879999,17.879999,5689000
2022-07-04,17.700001,17.870001,17.570000,17.600000,17.600000,2558900
2022-07-05,17.500000,17.540001,17.049999,17.290001,17.290001,4866100
2022-07-06,17.100000,17.190001,16.520000,17.110001,17.110001,8084100
2022-07-07,17.250000,17.850000,17.240000,17.580000,17.580000,5807500
2022-07-08,17.610001,18.040001,17.520000,17.740000,17.740000,3485100
2022-07-11,17.620001,17.660000,17.340000,17.420000,17.420000,4076900
2022-07-12,17.430000,17.500000,17.090000,17.139999,17.139999,3222100
2022-07-13,17.020000,17.139999,16.770000,16.770000,16.770000,4451800
2022-07-14,16.650000,17.340000,16.440001,17.139999,17.139999,5921100
2022-07-15,17.200001,17.370001,16.719999,17.230000,17.230000,3920500
2022-07-18,17.410000,17.719999,17.260000,17.420000,17.420000,4048200
2022-07-19,17.500000,17.730000,17.309999,17.469999,17.469999,4906000
2022-07-20,17.420000,17.730000,17.389999,17.540001,17.540001,8577900
2022-07-21,17.540001,17.809999,17.080000,17.770000,17.770000,6729800
2022-07-22,17.760000,17.820000,17.290001,17.490000,17.490000,5441500
2022-07-25,17.650000,17.790001,17.459999,17.690001,17.690001,4175600
2022-07-26,17.760000,17.950001,17.450001,17.600000,17.600000,3094600
2022-07-27,17.680000,18.379999,17.639999,18.379999,18.379999,4095600
2022-07-28,18.370001,18.580000,18.170000,18.469999,18.469999,3766100
2022-07-29,18.600000,19.020000,18.450001,18.670000,18.670000,7116800
2022-08-01,18.670000,18.920000,18.490000,18.750000,18.750000,4875800
